Product Unique ID,Product Category,Product Title,Product Description,Product Condition,Product Brand,Product Material,Variation Unique ID,Variation Size,Variation Color,Variation Quantity,Starting Bid,Buy Now Price,Retail Price,Target Price,Shipping Price,Ships From Country,Shipping Weight In Ounces,Days To Process Order,Days To Deliver,Expedited Shipping Price,Expedited Delivery Time,Buy One Get One Price,Accessory Price,Accessory Description,Primary Image URL,Extra Image URL 1,Extra Image URL 2,Extra Image URL 3,Extra Image URL 4,Status,bought,reminder,ratings
21584342,Jewelry | Jewelry,Are you ready for some FOOTBALL!! Love NFL Infinity Team Bracelet While they last!!,"Each piece is made with the highest quality craftsmanship in mind. All items are brand new!! 
CZ, Zircon, Crystal, and Rhinestone jewelry is a wonderful alternative to the high priced diamond jewelry. Get all the flash and sparkle of real diamonds without the high price mark up!! You and your jeweler will be the only ones to know. 
Please note: Stainless steel jewelry is durable, long lasting, hypo-allergenic, and does not oxidize or tarnish over time guaranteed...this type of jewelry can be worn every day!! 
Plated Jewelry: Should not be worn while showering, if you are allergic these may cause a reaction. These are not made for long term use and every day wear.",New,,Alloy Metal,21584342,,,,1,18.0,55.0,,2.0,,,,,,,18,,,https://images.tophatter.com/0c39a5df7793972ea866cf3e3014008f/large.jpg,https://images.tophatter.com/a3ccea6ee902a6c673531cb1142d93c5/large.jpg,https://images.tophatter.com/16186f8b8ee84dfe35479f32d4f7200a/large.jpg,https://images.tophatter.com/ba8431c72348789a49b3e4cd593229c6/large.jpg,,Enabled,5k+,1034,4.5
40249987,Jewelry | Jewelry,STUNNING GOLD PLATED PURPLE SPARKLE CRYSTAL CHARM BRACELET,"A beautiful piece, this bracelet stands out with its green crystals along with gold plated figures.
Also features a Heart plate that says ""I Love You""",New,,Yellow Gold Plated,40249987,,,,1,18.0,389.0,,3.0,,,,,,,15,,,https://images.tophatter.com/5fee245c39261b12508776e571c06aa6/large.jpg,https://images.tophatter.com/665169bfce5782905030c78c9b973b0a/large.jpg,https://images.tophatter.com/193ab16bbb2797b6c0a8c46d71c4a519/large.jpg,https://images.tophatter.com/15f471197b5948f96b25727015f41182/large.jpg,,Enabled,400+,81,4.5
17754348,Jewelry | Jewelry,"925 Sterling Silver ,Fashion Pearl Jewelry For Women ,Natural Freshwater Cultured Drop Pearl Earrings, Peacock Earrings,Gift for her, Push Present, Anniversary Gift","1.Pearl Type:Freshwater cultured pearl
2.Material:925 Silver
3.Pearl Size:8-9mm
4.Pearl Color:Peacock
5.Pearl Shape:Drop
6.Pearl Grade:AAA+
We are in the township of the Chinese freshwater pearls, Shanxiahu town of Zhuji City, Zhejiang Province, China, we promise all of the pearl jewelry our shop sold  is 100% natural freshwater pearls.

The pair of earrings is so lovely,it is suitable to be women's gift,christmas gift ,birthday's gift and so on. If you want have a your own pearl jewely,This one will be your good choices.

This shop all products of the starting price of more than $1,because You get what you pay for,Thank you for your understanding.

If you are not sure if you really need it, please don't auction it, because there are other people who love it, and waiting for it.

Packing:Transparent plastic box",New,,Sterling Silver,17754348,,,,1,27.0,98.0,,5.0,,,,,,,10,,,https://images.tophatter.com/eccdc370c1300e38ed54a38713a41255/large.jpg,https://images.tophatter.com/2f7a8b5d28c069dd223ac722b78dd2e7/large.jpg,https://images.tophatter.com/8df81f23a36b661a212c8cc5bba05037/large.jpg,,,Enabled,800+,354,4.5
42502745,Jewelry | Jewelry,(Babe Ruth) 24Kt Gold Clad 1927 NEW YORK YANKEES World Series Championship Ring Replica Size 11,"Babe Ruth 24Kt Gold Clad 1927 NEW YORK YANKEES World Series Championship Ring Replica Size 11

That year, the Yankees led the American League in runs scored, hits, triples, home runs, base on balls, batting average, slugging average and on-base percentage. It featured legends Babe Ruth and Lou Gehrig at their peaks. The team won a then-league record 110 games, finished with a 19-game lead over second place, and are considered by many to be the greatest team in the history of baseball.

The 1927 Pittsburgh Pirates, with MVP Paul Waner, led the National League in runs, hits, batting average and on-base percentage.",New,,Yellow Gold Filled,42502745,,,,1,30.0,300.0,,0.0,,,,,,,19,,,https://images.tophatter.com/096b4e6160828d4584b3457657447cce/large.jpg,https://images.tophatter.com/af06bac92750a5cbec542748d29981e9/large.jpg,https://images.tophatter.com/ab3e04e3afe6b5f63cf458574724fb27/large.jpg,https://images.tophatter.com/c0550f61814e7201651c04f4219643a6/large.jpg,,Enabled,30+,273,5.0
28026979,Jewelry | Jewelry,Sterling silver white CZ brilliant platinum jewelry for women,White ring,New with Tags,,Sterling Silver,28026979,,,,1,35.0,210.0,,5.0,,,,,,,25,,,https://images.tophatter.com/4486b49f0db1dcfaeb2eeb91b001b09b/large.jpg,https://images.tophatter.com/fd401b15056adc00c0e193e034eb9b3b/large.jpg,,,,Enabled,400+,85,4.5
45975898,Jewelry | Jewelry,"Gorgeous Solitaire Engagement Ring, Man Made 0.3ct White Cz Simulant, Wedding / Bridal / Promise Ring, White Gold Filled","Handmade item
Stone Dimensions : 4.75mm
Occasion: Engagement	
Primary color: White
Materials:?Man Made White Cz Simulant, 925 Sterling Silver, White Gold Filled
?
This breathtaking piece has been hand-crafted with a brilliant man-made White Cz. We use the finest simulated White Czs that have been cut using the highest quality standards and have?more facets to achieve the eye-catching sparkle that sets them apart. Superior cutting, faceting and polishing techniques ensure that the White Cz stimulant reflects light and shines, just like a perfect White Cz should.

Our White Cz simulants are cut to reflect the beauty and sparkle of a perfect D color flawless natural White Cz. Man-made or lab made White Czs are any type of White Czs that are not natural. While they?will not test as real with any White Cz tester, our man-made White Czs are brilliantly crafted to?simulate the refractive index and sparkle of a perfect natural White Cz that?will last a long time, when properly cared for.

¡ô?Approximate Band Width: 2mm
¡ô?Shape: Brilliant Cut
¡ô?Stone: Flawless D Color Man Made White Cz Simulant

Ring Size: If your size is not available, we may be able to custom size it for you. Please contact us for more information and pricing.",New,,White Gold Filled,45975898,,,,1,45.0,1599.0,,0.0,,,,,,,14,,,https://images.tophatter.com/55d3e8442e6b0ed0448b246869513f79/large.jpg,https://images.tophatter.com/6c4785d8bb618636d9fce8e358e2b56f/large.jpg,https://images.tophatter.com/e410ae818ff58a1e402bead815d4a24c/large.jpg,https://images.tophatter.com/b1104b530d1a8556cee132fc6f27c546/large.jpg,,Enabled,1k+,324,4.5
33408039,Jewelry | Jewelry,Gorgeous Rainbow Band Sizes 7-11 Available,"Material:stainelss steel(never fade)
Plated:Color
Width:6mm
Go by a velvet bag,good packing",New,,Stainless Steel,33408039,,,,1,19.0,51.0,,0.0,,,,,,,5,,,https://images.tophatter.com/02aa5cd64932c63005f372ef87145891/large.jpg,https://images.tophatter.com/cfd5032103df5f5883da3609174514d1/large.jpg,https://images.tophatter.com/834141dd5fce2810626564a9d1552ba3/large.jpg,https://images.tophatter.com/8d3a91e2ed63db552ec1d1e323885795/large.jpg,,Enabled,400+,588,4.5
54006414,Jewelry | Jewelry,Angel Wings Design 925 Sterling Silver Pendants Necklaces For Women High Quality Heart-shaped Purple Crystal Jewelry,"Product Name:Angel Wings Design 925 Sterling Silver Pendants Necklaces For Women 
Stone:High Quality Heart-shaped Amethyst
Metal Material: Real 925 Sterling silver
Necklaces Size:Main chain 30cm + 5cm extended chain
Necklaces Weight:4.2g
Necklaces Type:maxi necklace statement necklace silver 925 jewelry collares mujer
Environmental Standard:Lead, Nickel, Cadmium free
Occassion:wedding / party / Daily / Office / Gift",New,,Sterling Silver,54006414,,,,1,135.0,359.0,,0.0,,,,,,,,,,https://images.tophatter.com/9456dafff488711e0b13a4412fc4344c/large.jpg,https://images.tophatter.com/7e14705d37e13ceabe1606268c2e54b7/large.jpg,https://images.tophatter.com/50561a57c97706c4cb2f8913802c6601/large.jpg,,,Enabled,300+,255,0
53994939,Jewelry | Jewelry,"5pcs of 18 inches Rose Gold chains, random styles sent","100% Brand New
Length:18 inches
Material: Rose Gold plated
Nickel Free No harm to who is Allergic.
Color will last long time.

Winner will get 5 pcs in random styles of all the classic chains..

This bid is for 5 pcs of necklaces in random style",New,,Rose Gold Plated,53994939,,,,1,699.0,999.0,,0.0,,,,,,,10,,,https://images.tophatter.com/fa88225efe6a717de1e63f6d3af4bafa/large.jpg,https://images.tophatter.com/25cc5757d9e88dda767de4c5527b88e4/large.jpg,https://images.tophatter.com/2820aed34ecf10556a38ce27f3587135/large.jpg,https://images.tophatter.com/b16232eef75becc30221cc86695147ac/large.jpg,,Enabled,30+,33,0
30157814,Jewelry | Jewelry,Stunning Crystal Stone Charm Bracelet,Stunning Crystal Stone Charm Bracelet,New with Tags,,Alloy Metal,30157814,,,,1,12.0,159.0,,2.0,,,,,,,15,,,https://images.tophatter.com/d25634915c6471dbda61065462577f91/large.jpg,https://images.tophatter.com/b00b474998c6b1a591d937d57f9f13d0/large.jpg,https://images.tophatter.com/bb8d595d0db5b4faccaab8f0a88ca8bb/large.jpg,https://images.tophatter.com/c0753be1dec3e1273426586b701598fa/large.jpg,,Enabled,3k+,282,4.5
