Product Unique ID,Product Category,Product Title,Product Description,Product Condition,Product Brand,Product Material,Variation Unique ID,Variation Size,Variation Color,Variation Quantity,Starting Bid,Buy Now Price,Retail Price,Target Price,Shipping Price,Ships From Country,Shipping Weight In Ounces,Days To Process Order,Days To Deliver,Expedited Shipping Price,Expedited Delivery Time,Buy One Get One Price,Accessory Price,Accessory Description,Primary Image URL,Extra Image URL 1,Extra Image URL 2,Extra Image URL 3,Extra Image URL 4,Status,bought,reminder,ratings
17754348,Jewelry | Earrings,"925 Sterling Silver ,Fashion Pearl Jewelry For Women ,Natural Freshwater Cultured Drop Pearl Earrings, Peacock Earrings,Gift for her, Push Present, Anniversary Gift","1.Pearl Type:Freshwater cultured pearl
2.Material:925 Silver
3.Pearl Size:8-9mm
4.Pearl Color:Peacock
5.Pearl Shape:Drop
6.Pearl Grade:AAA+
We are in the township of the Chinese freshwater pearls, Shanxiahu town of Zhuji City, Zhejiang Province, China, we promise all of the pearl jewelry our shop sold  is 100% natural freshwater pearls.

The pair of earrings is so lovely,it is suitable to be women's gift,christmas gift ,birthday's gift and so on. If you want have a your own pearl jewely,This one will be your good choices.

This shop all products of the starting price of more than $1,because You get what you pay for,Thank you for your understanding.

If you are not sure if you really need it, please don't auction it, because there are other people who love it, and waiting for it.

Packing:Transparent plastic box",New,,Sterling Silver,17754348,,,,1,27.0,98.0,,5.0,,,,,,,10,,,https://images.tophatter.com/eccdc370c1300e38ed54a38713a41255/large.jpg,https://images.tophatter.com/2f7a8b5d28c069dd223ac722b78dd2e7/large.jpg,https://images.tophatter.com/8df81f23a36b661a212c8cc5bba05037/large.jpg,,,Enabled,800+,353,4.5
17709268,Jewelry | Earrings,925 Sterling Silver  AAA+ 8-9MM Freshwater Cultured Pearl Drop Hook Pearl Earrings,"1.Pearl Type:Freshwater Cultured Pearl
2.Material:925 Silver
3.Pearl Size:8-9mm
4.Pearl Color:Natural White
5.Pearl Shape:Drop
6.Pearl Grade:AAA+

We are in the township of the Chinese freshwater pearls, Shanxiahu town of Zhuji City, Zhejiang Province, China, we promise, our shop sold all of the pearl jewelry is 100% natural freshwater pearls.

The pair of earrings is so lovely,it is suitable to be women's gift,christmas gift ,birthday's gift and so on. If you want have a your own pearl jewely,This one will be your good choices.

This shop all products of the starting price of more than $1,because You get what you pay for,Thank you for your understanding.

If you are not sure if you really need it, please don't auction it, because there are other people who love it, and waiting for it.

Packing:Transparent Plastic Box",New,,Sterling Silver,17709268,,,,1,26.0,165.0,,5.0,,,,,,,10,,,https://images.tophatter.com/2d717526332918ee7c34fea3556d838e/large.jpg,https://images.tophatter.com/f837535d4eaccfc80cd165672d016384/large.jpg,https://images.tophatter.com/9687c58da20c4f4028faec14202827ed/large.jpg,,,Enabled,400+,156,4.5
52949138,Jewelry | Earrings,AGMV Leavs Platinum Plated Earrings,"Wonderful Platinum Plated Earrings 
The Earrings contain Italian Zircon. 
Weight of this Earrings is 2 grams. 
Each Earring measures 0.7""",New,,Platinum Plated,52949138,,,,1,18.0,79.0,,4.0,,,,,,,19,,,https://images.tophatter.com/28643ce821503b30999c0f72debc4b6b/large.jpg,https://images.tophatter.com/7abf2234b397dea45940aacb26fe5ccc/large.jpg,https://images.tophatter.com/82ba27c1d1150ca1a81b46804fba914f/large.jpg,https://images.tophatter.com/6f778a1b0e811fc62163453f1a1084e2/large.jpg,,Enabled,0,71,0
30780660,Jewelry | Earrings,10Kt White Gold 6Mm Round Cz Stud Earrings 10K,10Kt White Gold 6Mm Round Cz Stud Earrings 10K,New,,,30780660,,,,1,14.0,43.0,,3.0,,,,,,,15,,,https://images.tophatter.com/3e111daf4e41af2e6b1ffbcff5a81508/large.jpg,,,,,Enabled,30+,656,4.5
52677326,Jewelry | Earrings,6 Pairs/Set White Eight Heart Eight Arrows Round Zircon Earrings,"Earring Type: Stud Earrings 
Item Type: Earrings 
Style: Trendy 
Back Finding: Push-back 
Metals Type: Stainless Steel",New,,Stainless Steel,52677326,,,,1,8.0,99.0,,0.0,,,,,,,12,,,https://images.tophatter.com/f88f3379b469896d1539285af6b7a66d/large.jpg,https://images.tophatter.com/582e27aeba791e9b4181479565dcefb4/large.jpg,https://images.tophatter.com/d2fc806dc464bd1045a2c930e1f62bcb/large.jpg,https://images.tophatter.com/5fa56eb3d0eee552bccb5f0ab53294e1/large.jpg,,Enabled,30+,76,0
54055021,Jewelry | Earrings,3.5 ctw Natural Mystic Topaz & White Sapphire in 14KT White Gold Filled Earrings,"Metal Type: 14K White Gold Filled 
Gemstone: 3.5 ctw Genuine Mystic Topaz & White Sapphire 
Measurements: 1/3"" 
Weight: 5 gram 
Item: FJU NB 295",New with Tags,,White Gold Filled,54055021,,,,1,220.0,540.0,,3.0,,,,,,,,,,https://images.tophatter.com/db4f470446a2342cc44f8a63a2669529/large.jpg,https://images.tophatter.com/1171912d0f0b13284d442d7edee149d6/large.jpg,https://images.tophatter.com/a3fa377fa0baa454f95009e9e46cb518/large.jpg,https://images.tophatter.com/77fc66bd036137a679161201709a61be/large.jpg,,Enabled,0,24,0
18380645,Jewelry | Earrings,Elegant Cubic Zirconia Crystal Hook Earrings | 1 Pair,"Condition: 100% Brand New & high quality
Material:Alloy + Rhinestone
Color: Silver,Gold
Size:2.5cm*0.3cm
Crystal size:1mm-4mm
Package Includes:1 Pair Crystal Ear Hook Earrings



== Your Satisfaction is Our Top Priority ==

       = Please Bid With Confidence! =


            ~ A&C GIfts and Decor",New,,Silver Plated,18380645,,,,1,7.0,49.0,,0.0,,,,,,,9,,,https://images.tophatter.com/7965edbb64369c01530f5d376019f299/large.jpg,,,,,Enabled,100+,1286,4.5
53728711,Jewelry | Earrings,Tassel Threaded Simulated Pearl Earrings,"Earring Type:Drop Earrings~Thread
Metals Type:Zinc Alloy
Shape\pattern:Round
size:  Full length 95mm, pearl diameter 8mm",New,,Alloy Metal,53728711,,,,1,9.0,66.0,,4.0,,,,,,,21,,,https://images.tophatter.com/1e9f8860127be70e44ec68b3ec811183/large.jpg,https://images.tophatter.com/7dd49eddcc2da9a79731d653c8805a19/large.jpg,https://images.tophatter.com/a11afc9960c130ac65fd432bab41d1b8/large.jpg,https://images.tophatter.com/59268c1738e538201b25efd4693981da/large.jpg,,Enabled,0,29,0
53721776,Jewelry | Earrings,Butterfly Shaped Earrings,"Metals Type:Copper
Material:Acrylic
Style:Trendy
Earring Type: French Hook",New,,Alloy Metal,53721776,,,,1,9.0,45.0,,4.0,,,,,,,21,,,https://images.tophatter.com/2b243196c0c9b6fcca1aac6e78e1f0b5/large.jpg,https://images.tophatter.com/a48ddeaacf801e6dc5a7be3656596d21/large.jpg,https://images.tophatter.com/8c9da3fe0a4c01af89abf97b736f19b4/large.jpg,https://images.tophatter.com/7e05062fa873332bb69c9cc2d112a772/large.jpg,,Enabled,0,23,0
28127805,Jewelry | Earrings,18Kt White Gold Plated Austrian Crystal Inside Outside Hoop Earings,"Material: White Gold Plated
Condition: New

Austrian Crystal Inside Outside Hoop Earings very nice gift",New,,White Gold Plated,28127805,,,,1,25.0,300.0,,0.0,,,,,,,9,,,https://images.tophatter.com/57124c150416278d4105e484f7da832d/large.jpg,https://images.tophatter.com/e7f82922beba3679286f76a0fcc0995f/large.jpg,,,,Enabled,7k+,665,4.5
