Product Unique ID,Product Category,Product Title,Product Description,Product Condition,Product Brand,Product Material,Variation Unique ID,Variation Size,Variation Color,Variation Quantity,Starting Bid,Buy Now Price,Retail Price,Target Price,Shipping Price,Ships From Country,Shipping Weight In Ounces,Days To Process Order,Days To Deliver,Expedited Shipping Price,Expedited Delivery Time,Buy One Get One Price,Accessory Price,Accessory Description,Primary Image URL,Extra Image URL 1,Extra Image URL 2,Extra Image URL 3,Extra Image URL 4,Status,bought,reminder,ratings
53902691,Jewelry | Sets,Fine 18Kt Rose Gold *OPAL CRYSTAL PEACOCK* Necklace & Earring Wedding Jewelry Set,"Fine 18Kt Rose Gold *OPAL CRYSTAL PEACOCK* Necklace & Earring Wedding Jewelry Set

You Receive
1 Pr Earrings
1 Necklace



Fabulous and Unique. If that is your personality, then this show piece is for you!",New,,Rose Gold Filled,53902691,,,,1,79.0,799.0,,5.0,,,,,,,25,,,https://images.tophatter.com/0a35d8455c3f183703b51dc61c3466d6/large.jpg,https://images.tophatter.com/2195b13d32643ae36d521948160f4f69/large.jpg,https://images.tophatter.com/fea674610523dd5a93c58c126f0a2b10/large.jpg,https://images.tophatter.com/8a003f09c73fc50e2db9520d07e6005b/large.jpg,,Enabled,0,36,0
50843760,Jewelry | Sets,Limited time offer... Free Matching necklace with purchase!!! Rhinestone Hello Kitty necklace Bowknot Earrings,"Limited time offer... Free Matching necklace with purchase!!! 

Rhinestone Hello Kitty necklace Bowknot Earrings.

These earrings are a must have for all Hello kitty Fans!!!  Plus for a limited time you will receive the matching Hello Kitty charm necklace absolutely FREE!!!
Main Material is 18K WGP
Stones are AAA CZ

Add the Hello Kitty Spinner at checkout for $7",New with Tags,,White Gold Plated,50843760,,,,1,19.0,99.0,,0.0,,,,,,,18,,,https://images.tophatter.com/9b9479c8dd0eb8920ff147cca67e63ff/large.jpg,https://images.tophatter.com/987d8521fa47091eb05f74e0a74b1886/large.jpg,https://images.tophatter.com/852408f0059bbf2660b4949b3a80f8de/large.jpg,https://images.tophatter.com/16794d2d51b4925c4edec0f28f3bdadc/large.jpg,,Enabled,100+,114,4.5
52140948,Jewelry | Sets,3 Pc Sterling Silver Jewelry Set Sterling Silver with Black Onyx Stones,"3 Pc Sterling Silver Jewelry Set Sterling Silver with Black Onyx Stones

Amazing Sterling Silver Jewelry Set of Elephant  with Black Onyx Stones. 

You receive
1 Pr Earrings
1 Bracelet
1 Necklace",New,,Sterling Silver,52140948,,,,1,49.0,499.0,,6.0,,,,,,,25,,,https://images.tophatter.com/82acecc47b237bd7544b09a74d6ec754/large.jpg,https://images.tophatter.com/dac7c1d4cc835f48b85f3f954285e593/large.jpg,https://images.tophatter.com/692558cd4b7321314d725f3aec6e8ea5/large.jpg,https://images.tophatter.com/37e5beaf60cae7bfa8e2265ea75d9ca9/large.jpg,,Enabled,0,15,0
53774479,Jewelry | Sets,Sterling Oil Painting Enamel Elephant Necklace & Earrings Set,Sterling Oil Painting Enamel Elephant Necklace & Earrings Set,New,,Sterling Silver,53774479,,,,1,30.0,300.0,,5.0,,,,,,,19,,,https://images.tophatter.com/ddf96ef96019170fc1d467bc6a53a1b9/large.jpg,https://images.tophatter.com/cb7fb29a5dad71416f297e0d2568b4d4/large.jpg,https://images.tophatter.com/a100bc7e8e92d8e43da2f25a837b13a1/large.jpg,https://images.tophatter.com/1dc7c7f72d72e95553bd41ee82b67d89/large.jpg,,Enabled,0,11,0
51417961,Jewelry | Sets,"925 Sterling Silver Heart With Key 18"" Necklace 8"" Bracelet Fine Jewelry Set","925 Sterling Silver Heart With Key 18"" Necklace 8"" Bracelet Fine Jewelry Set",New,,Sterling Silver,51417961,,,,1,30.0,300.0,,5.0,,,,,,,19,,,https://images.tophatter.com/7e3b34a4baa647eea69f5585353750c2/large.jpg,https://images.tophatter.com/dbb1972f9f38c12189d1dbbe4f106ead/large.jpg,https://images.tophatter.com/0154dfa8ea8387390b40fb73e2c04e46/large.jpg,https://images.tophatter.com/1d498e7f098b9bb7e5d6618ff48f0162/large.jpg,,Enabled,100+,114,4.5
52733524,Jewelry | Sets,18Kt Gold & Titanium 1CT Solitaire Wedding Ring Set Size 6-9,"18Kt Gold & Titanium 1CT Solitaire Wedding Ring Set Size 6-9

Fabulous and Unique. If that is your personality, then this show piece is for you!",New,,Sterling Silver,52733524,,,,1,29.0,899.0,,6.0,,,,,,,25,,,https://images.tophatter.com/2c5c71b5c2a639a9a4e141c4a21fa06b/large.jpg,https://images.tophatter.com/19330086796db243ab3ae2627ecdde8c/large.jpg,https://images.tophatter.com/b6ab9f84b0baf0850eb48ebe804b7ddb/large.jpg,https://images.tophatter.com/a6534cce2bbb1a2e347e9966a5da3224/large.jpg,,Enabled,0,24,0
52139966,Jewelry | Sets,3 Pc Sterling Silver Jewelry Set Sterling Silver with Turquoise Stones,"3 Pc Sterling Silver Jewelry Set Sterling Silver with Turquoise Stones

Amazing Sterling Silver Jewelry Set of Elephant  with Turquoise Stones. 

You receive
1 Pr Earrings
1 Bracelet
1 Necklace",New,,Sterling Silver,52139966,,,,1,49.0,499.0,,6.0,,,,,,,25,,,https://images.tophatter.com/faa0c5d31e07518e82c96b36944786df/large.jpg,https://images.tophatter.com/77c62ccf9f2d0f008f2a8c34e3134ed2/large.jpg,https://images.tophatter.com/67a34a2b83e62d62d1a061b4ccd45654/large.jpg,https://images.tophatter.com/7a2f7c8e36376777dcbef01db05ea649/large.jpg,,Enabled,0,7,0
52143371,Jewelry | Sets,Sterling Silver Leather Necklace Jewelry Set Sterling Silver with Sterling Silver Elephant,"Sterling Silver Leather Necklace Jewelry Set Sterling Silver with Sterling Silver Elephant

Amazing Sterling Silver Jewelry Set of Elephant  with Black Leather Necklace.

You receive
1 Pr Earrings
1 Necklace",New,,Sterling Silver,52143371,,,,1,29.0,299.0,,6.0,,,,,,,25,,,https://images.tophatter.com/ba9aef97e0dce28ef0fffaec8fb470e3/large.jpg,https://images.tophatter.com/01c92b4f757bb2b917cdaf02329fb323/large.jpg,https://images.tophatter.com/535b88e8c7d01996838a7251ec31f70a/large.jpg,https://images.tophatter.com/15669dddda0488793fd8cbf7fe601aa5/large.jpg,,Enabled,0,14,0
25695841,Jewelry | Sets,Ms atmosphere fashion crystal necklace earrings,"style:fashion
modelling:The crystal
Suit combination:Necklace + earrings
Treatment process:electroplating
color:yellow
 fitting:Gold plated",New,,Yellow Gold Plated,25695841,,,,1,22.0,270.0,,5.0,,,,,,,5,,,https://images.tophatter.com/f9a30e117a4533e4201c71cbcaf1d25b/large.jpg,https://images.tophatter.com/f648159c1ad60684488efc77e748d20f/large.jpg,https://images.tophatter.com/473b431a4074b8c68c0d0781f55f7e4a/large.jpg,https://images.tophatter.com/50a5c70bc390c125bf410e36ece71340/large.jpg,,Enabled,0,149,0
19834678,Jewelry | Sets,Party Wedding 18K Jewelry Sets for Women Pendant Statement African Beads Crystal Necklace Earrings Bracelet Fine Rings,"Item Type: Jewelry Sets
Fine or Fashion: Fashion
Included Additional Item Description: Necklace Bangle Earrings Ring
Style: Trendy
Gender: Women
Occasion: Party
Shape\pattern: Plant
Jewelry Sets Type: Necklace/Earrings/Bracelet
Model Number: KE-CT123
COLOR: white
Stone Material: CZ crystal
Fashion : resort style/ Magazine recommended /street
Packing : Well-packed in OPP bag, without card
Place : Party /Wedding /Birthday /Anniversary
Certification : High Quality in EU and AU",New,,Yellow Gold Plated,19834678,,,,1,29.0,499.0,,6.0,,,,,,,,,,https://images.tophatter.com/1150fa6938f0983b01630471965119b4/large.jpg,https://images.tophatter.com/e0f46753c2b6cca375ba0c44287bdb2d/large.jpg,https://images.tophatter.com/3ef8367c5aa74faa30d54f046347b3ce/large.jpg,https://images.tophatter.com/96935988fb8eb026f67e771ae45dc094/large.jpg,,Enabled,1k+,262,0
